initiative_id,report_id,company_name_english,ESG_block,theme_tag,initiative_title,initiative_description,collaboration_present,collaboration_type,actors_involved,collaboration_model,driver_primary,outputs_or_outcomes,KPI_present,KPI_list,geography,evidence_file_name,evidence_page_numbers,confidence,cluster_id,cluster_keywords,similar_initiative_ids,similar_initiative_titles
CN020-I001,CN020,CNGR,E,biodiversity_ecosystems,"Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on t...","Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements and goals of the Kunming-Montreal Global Biodiversity Framework, while also adhering to the principles of the UN Convention on Biological Diversity, the UN Convention to Combat Desertification, and the Task force on Nature-related Financial Disclosures (TNFD) framework.",yes,Business–NGO/Nonprofit,UN Convention on Biological Diversity; UN Convention to Combat Desertification,A) Government mandate / compliance-driven,i) regulation/government policy,2024,yes,not stated,not stated,CNGR 2024.pdf,65,High,3,"global, global compact, compact, 2024, united nations, nations",CN014-I002;CN058-I003;CN020-I003;CN030-I003;CN024-I001,"In line with the United Nations Convention on Biological Diversity and the China... || Comprehensive Pilot Project of Wildlife Protection and Ecological Development in... || Contents About this Report Chairman's Address Appendix About CNGR Our Footprint ... || To further implement the strategic goals of the Kunming-Montreal Global Biodiver... || 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the ..."
CN020-I002,CN020,CNGR,E,biodiversity_ecosystems,CNGR Partners with the School of Law at Guizhou University to Advance Research o...,"CNGR Partners with the School of Law at Guizhou University to Advance Research on Biodiversity Laws and Regulations In 2024, CNGR and the School of Law at Guizhou University conducted multiple academic ex- changes focused on biodiversity-related laws, regulations, and development trends.",yes,Multi-actor (more than 3 categories),CNGR Partners with the School of Law at Guizhou University; CNGR and the School of Law at Guizhou University,A) Government mandate / compliance-driven,i) regulation/government policy,2024,yes,not stated,not stated,CNGR 2024.pdf,69,High,13,"sustainability, 2024, company, stock exchange, materiality, government",CN014-I002;CN014-I005;CN058-I003;CN020-I001;CN015-I003,"In line with the United Nations Convention on Biological Diversity and the China... || / 2024 Environmental, Social and Governance Report 12 Corporate Governance China... || Comprehensive Pilot Project of Wildlife Protection and Ecological Development in... || Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on t... || 6 2024 Environmental, Social and Governance and Sustainability Report Witness ES..."
CN020-I003,CN020,CNGR,E,biodiversity_ecosystems,Contents About this Report Chairman's Address Appendix About CNGR Our Footprint ...,Contents About this Report Chairman's Address Appendix About CNGR Our Footprint 2024 Annual Milestones 2024 Accolades 0 1 Corporate Strategy Governance Structure Economic Performance Sustainability Strategy Value Creation Stakeholder Engagement Double Materiality Analysis 02 Harmonious Ecology Clean Energy Ecological Footprint Reduction Biodiversity Conservation 03 Excellence and Win-Win Health Protection High-Quality Products Community and Partnerships 04 Practicality and Self-Discipline Corporate and Systemic Governance 05,yes,Business–Society/Community,Society; Business Partners,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,"2024, 2024, 0, 1, 02",yes,not stated,not stated,CNGR 2024.pdf,4,Medium,2,"governance, management, report, social, development, environmental",CN061-I004;CN024-I001;CN070-I001;CN069-I003;CN031-I004,"About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the ... || 02 Chairman's Address Board Statement Tech for Practicality and AI for Good Supp... || Appendix I： Quantitative Performance Sheet Appendix II: Reader Feedback Form Abo... || Contents 86 91 95 97 Appendix Key Performance Indicators GRI Index Terminology I..."
CN020-I004,CN020,CNGR,Cross-cutting,innovation_green_tech,Partnering with IBM to Create a Digital Benchmark for the New Energy Industry In...,"Partnering with IBM to Create a Digital Benchmark for the New Energy Industry In 2024, CNGR executed its ""Operation Digitization"" strategy, using digital tools to advance modernization and interna- tionalization.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2024,yes,not stated,not stated,CNGR 2024.pdf,12,Medium,1,"digital, ai, industry, business, 2024, partners",CN024-I005;CN062-I006;CN057-I006;CN046-I005;CN031-I003,"2024- accelerating industrial digital transformation and fully deploying a new e... || In 2024, we achieved deep collaboration with our supplier partners across multip... || Digitalization Technical Committee Digitalization Investment Decision Committee ... || The Company actively manages its response to ongoing energy-related regulatory a... || In 2024,  Established 2 joint laboratories with universities  Participated in ..."
CN020-I005,CN020,CNGR,G,board_structure,Director Remuneration Policy: The company has established a comprehensive senior...,"Director Remuneration Policy: The company has established a comprehensive senior management remuneration determination pro- cess: (1) Market Research and Benchmarking: Collect remuneration data of senior management within the same industry, conduct market benchmarking analysis, and ensure competitive positioning; (2) Cost and Efficiency Analysis: Assess the alignment between remuneration costs and company finances, en- suring resource allocation is reasonable; (3) Remuneration Plan Design: Formulate plans, determine the remuneration structure and levels, and strategize short, medium, and long-term incentives; (4) Approval and Implementation: Following review by the Nomination, Remuneration, and Assessment Committee, submit the plan to the Board of Directors for approval and implement post-approval.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,B) Government subsidy / incentive-supported,ii) subsidies/incentives,"1, 2, 3, 4",yes,not stated,not stated,CNGR 2024.pdf,17,Medium,7,"training, program, university, staff, employees, remuneration",CN069-I003;CN028-I001;CN007-I004;CN062-I001;CN015-I007,Appendix I： Quantitative Performance Sheet Appendix II: Reader Feedback Form Abo... || Stakeholder Engagement Approach Stakeholders Key Expectations Engagements 2024 H... || 18 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSIN... || Highlighted Performance Released and optimized sustainability and ESG-related pr... || 9 ESG ESG Governance System Board of Directors Governance Strategy and Investmen...
CN020-I006,CN020,CNGR,Cross-cutting,partnerships_general,"By forming deep part- nerships with leading players, CNGR has signed strategic c...","By forming deep part- nerships with leading players, CNGR has signed strategic cooperation agreements or long-term supply contracts with clients such as LG Chem, XTC New Energy, TAM, BTR, REPT, and CALB.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Not stated / Not found,no,not stated,not stated,CNGR 2024.pdf,21,Medium,0,"suppliers, supplier, code, business partners, partners, business",CN018-I003;CN062-I006;CN032-I006;CN066-I005;CN064-I007,"During the conference, Xi Guohua, the Chairman of the Company, and 15 representa... || In 2024, we achieved deep collaboration with our supplier partners across multip... || The Company has established comprehensive, long-term partnerships with more than... || Furthermore, we work together with upstream partners to promote the application ... || Supplier RFI Survey Supplier Certification Audit Agreement Signing Supplier CSR ..."
CN020-I007,CN020,CNGR,S,labor_rights,"GRI 2, GRI 202, GRI 401, GRI405, GRI 406, GRI 407, GRI 408, GRI 409 Legal Employ...","GRI 2, GRI 202, GRI 401, GRI405, GRI 406, GRI 407, GRI 408, GRI 409 Legal Employment and Human Rights Protection CNGR has established and continuously improved its human rights protection system by developing a governance framework and delegating management responsibilities to designated departments to en- sure that all employment practices comply with relevant laws and regulations, and that the legal rights of every employee are fully protected.",yes,Business–Government,Government,A) Government mandate / compliance-driven,i) regulation/government policy,"2, 202, 401, 406, 407",yes,not stated,not stated,CNGR 2024.pdf,73,Medium,8,"management, compliance, government, business, security, ethics",CN013-I006;CN061-I004;CN072-I002;CN031-I004;CN034-I007,"In accordance with internal management policies such as the Administrative Regul... || About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || Adhering to legal compliance and international standards, we have established a ... || Contents 86 91 95 97 Appendix Key Performance Indicators GRI Index Terminology I... || 43 Sustainability Report 2024 OPERATIONS PEOPLE RESPONSIBLE DATA SMARTABILITY OU..."
CN021-I001,CN021,COSCO Shipping,E,emissions_reduction,The Company's scenario analysis adopts the Representative Concentration Pathways...,"The Company's scenario analysis adopts the Representative Concentration Pathways (RCP) RCP2.6 and RCP4.5 developed by the Intergovernmental Panel on Climate Change (IPCC), as well as the Stated Policies Scenario (STEPS) and the Net Zero Emissions by 2050 Scenario (NZE) simulated by the International Energy Agency (IEA).",yes,Business–Government,International Energy Agency,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"6, 5, 2050",yes,not stated,not stated,COSCO Shipping 2024.pdf,27,High,6,"energy, scenario, carbon, climate, green, emissions",CN008-I002;CN049-I002;CN073-I008;CN066-I002;CN013-I007,"Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Interg... || Conduct at least one annual discussion on climate change related issues to devel... || Risk Analysis Climate Scenario Analysis for Transition Risks: ZTE has conducted ... || Strategy To identify and evaluate the impacts of climate-related risks and oppor... ||  Transition risks  Climate scenario selection During the Reporting Period, the..."
CN021-I002,CN021,COSCO Shipping,E,emissions_reduction,"COSCO SHIPPING Lines launched a carbon emission calculator in 2010, in accordanc...","COSCO SHIPPING Lines launched a carbon emission calculator in 2010, in accordance with the guidelines of the International Maritime Organization (IMO) MEPC.1/Circ.684 circular, to assist customers in calculating the carbon dioxide emissions in their supply chains, helping customers promote value chain emission reduction.",yes,Business–Business Partners (industry/supply chain/consortium),International Maritime Organization,A) Government mandate / compliance-driven,i) regulation/government policy,"2010, 1, 684",yes,not stated,not stated,COSCO Shipping 2024.pdf,33,High,6,"energy, scenario, carbon, climate, green, emissions",CN060-I002;CN021-I007;CN011-I003;CN021-I001;CN030-I001,"After more than 20 years of dedication, the Company has accumulated The cumulati... || Customs Clearance： Leveraging the COSCO SHIPPING Lines' customs integration pla... || The amount of greenhouse gases was presented in carbon dioxide equivalent, and G... || The Company's scenario analysis adopts the Representative Concentration Pathways... || 07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs ..."
CN021-I003,CN021,COSCO Shipping,S,community_development,We conducted ​targeted benevolent donation activities in the Luolong region of T...,"We conducted ​targeted benevolent donation activities in the Luolong region of Tibet​ and participated in the ​""Central Enterprises' Consumption Assistance Spring Campaign""​ and the ​""Central Enterprises' Consumption Assistance Rural Revitalization Week""​, with total ​purchases reaching 9.33 million yuan​, demonstrating the ​benevolence of our employees​.",yes,Business–Society/Community,Society,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,9.33,yes,not stated,not stated,COSCO Shipping 2024.pdf,7,Medium,17,"tcl, foundation, charity, 2024, tcl charity, charity foundation",CN017-I002;CN056-I004;CN028-I003;CN045-I004;CN017-I004,"Public welfare activities and community engagement 400,000 155 700 140 CNY More ... || SINOHYDRO Bureau 6 organized free medical consultations in rural communities of ... || In 2024, we made donations worth tens of thousands of yuan to biodiversity-theme... || Donation Activity Case Case Since 2021, Moutai has established the ""Han Jiang · ... || By donating off grid photovoltaic systems and living materials for public welfar..."
CN021-I004,CN021,COSCO Shipping,G,stakeholder_engagement,"In 2024, the Company comprehensively analyzed domestic and international regulat...","In 2024, the Company comprehensively analyzed domestic and international regulatory requirements, industry focus areas, and internal and external stakeholder demands and established a list of topics related to sustainability, to identify the Company's material sustainability-related topics.",yes,Business–Government,Government; Business Partners,A) Government mandate / compliance-driven,i) regulation/government policy,2024,yes,not stated,not stated,COSCO Shipping 2024.pdf,15,Medium,13,"sustainability, 2024, company, stock exchange, materiality, government",CN012-I007;CN030-I007;CN012-I005;CN031-I005;CN049-I005,"Step 2: Sustainability Issues List Establishment Based on the understanding of t... || Step 1: Identification and Screening of Topic List In 2024, building on previous... || Sustainability Report 2024 32 / 321 (III) Sustainability Issues Materiality Asse... || 12 Sustainable Development Management 1) Assessment of Topic Materiality Followi... || 2024 SUSTAINABILITY REPORT Committed to Advancing Cutting-Edge Technology, Fulfi..."
CN021-I005,CN021,COSCO Shipping,E,emissions_reduction,If the services provided cannot meet customer energy-saving and carbon reduction...,"If the services provided cannot meet customer energy-saving and carbon reduction targets, it may lead to reduced bookings or ship idling, increasing operating costs; If energy-saving and carbon reduction performance cannot meet customer requirements, existing customers may switch to competitors.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,A) Government mandate / compliance-driven,i) regulation/government policy,Not stated / Not found,no,not stated,not stated,COSCO Shipping 2024.pdf,26,Medium,6,"energy, scenario, carbon, climate, green, emissions",CN060-I005;CN034-I005;CN046-I005;CN042-I006;CN003-I006,"Together with our global partners, we will accelerate the energy transition and ... || 25 Sustainability Report 2024 OPERATIONS PEOPLE RESPONSIBLE DATA SMARTABILITY OU... || The Company actively manages its response to ongoing energy-related regulatory a... || INOVANCE Quality Policy Aiming to meet the requirements of global customers Buil... || Replace 50% of strategic partners’ energy consumption with renewable energy • Th..."
CN021-I006,CN021,COSCO Shipping,E,pollution_control,"Shipping Safety Management System The habit of ""management personnel identifyin...","Shipping Safety Management System The habit of ""management personnel identifying and controlling safety risks daily"" The habit of ""operators reminding and avoiding safety risks before each operation"" The habit of ""ships maintaining a distance of at least 1 nautical mile when giving way in open waters"" Checklist management Three Habits Two Practices Crew Training Joint onshore drills 3 Number of participating in the drills Over 800 To ensure that crew members fully understand relevant regulations, rules, and guides, and that newly hired or transferred crew members can quickly familiarize themselves with their duties, onboard training is conducted to ensure that crew members have the ability to implement and maintain the Company's safety, anti- pollution, and ship security management policies and objectives.",yes,Business–Government,Government,A) Government mandate / compliance-driven,i) regulation/government policy,"1, 3, 800",yes,not stated,not stated,COSCO Shipping 2024.pdf,43,Medium,8,"management, compliance, government, business, security, ethics",CN040-I007;CN059-I004;CN034-I007;CN068-I001;CN028-I001,Continuing to reinforce the enterprise risk management system 1 2 3 The Bank enh... || Shenzhen International Invited External Experts to Hold Risk Training on Supply ... || 43 Sustainability Report 2024 OPERATIONS PEOPLE RESPONSIBLE DATA SMARTABILITY OU... || 100% compliance with internal and external business ethics audit requirements 89... || Stakeholder Engagement Approach Stakeholders Key Expectations Engagements 2024 H...
CN021-I007,CN021,COSCO Shipping,G,supply_chain_governance,Customs Clearance： Leveraging the COSCO SHIPPING Lines' customs integration pla...,"Customs Clearance： Leveraging the COSCO SHIPPING Lines' customs integration platform ECP customs resources at home and abroad were integrated Digitally, connections were established with 15 major third-party suppliers in China, and the ECP platform was deployed overseas, covering a total of 52 countries and regions.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),"v) operational efficiency/resource value (e.g., waste as asset)","15, 52",yes,not stated,national,COSCO Shipping 2024.pdf,48,Medium,0,"suppliers, supplier, code, business partners, partners, business",CN058-I007;CN058-I004;CN021-I002;CN037-I006;CN044-I002,"Joined the Universal Postal Union Consultative Council (UPUCC), becoming a key p... || 1 Customer Satisfaction for express services in China 15 years in a row 1 Accord... || COSCO SHIPPING Lines launched a carbon emission calculator in 2010, in accordanc... || Supplier management Responsible Supply Chain The number of suppliers reached Reg... || 2024 ESG Audit Overview of Key Suppliers Audit Form On-site third-party audits O..."
CN022-I001,CN022,CRRC,S,diversity_inclusion,Employee Training Indicators Indicator Unit 2024 Employee Training Coverage Rate...,"Employee Training Indicators Indicator Unit 2024 Employee Training Coverage Rate % 100 Male Employee Training Rate % 100 Female Employee Training Rate % 100 Senior Management Training Rate % 100 Middle Management Training Rate % 100 General Employee Training Rate % 100 Number of Employee Training Sessions Times 341,651 Annual Training Expenditure 10,000 yuan 22,088.45 Total Annual Training Duration Hours 13,964,198 Average Training Duration per Employee Hours 96 Average Training Duration Per Male Employee Hours 97 Average Training Duration Per Female Employee Hours 90 Average Training Duration Per Senior Management Employee Hours 109 Average Training Duration Per Middle Management Employee Hours 86 Average Training Duration Per General Employee Hours 101 Employee training coverage reached 100 % During the reporting period Organizing the Overseas DLS Business Talent Training Session The Company partnered with the Macau University of Science and Technology to offer customized teaching and strengthen cross-cultural communication and training across various professional disciplines, with a focus on enhancing the comprehensive business capabilities of DLS backbones.",yes,Business–Business Partners (industry/supply chain/consortium),DLS Business Talent Training Session The Company partnered with the Macau University,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"2024, 100, 100, 100, 100",yes,not stated,not stated,CRRC 2024.pdf,31,High,7,"training, program, university, staff, employees, remuneration",CN038-I004;CN045-I006;CN028-I004;CN005-I002;CN014-I006,"Talent Training System Three-year systematic training programme for new employee... || The training included 105 participants, comprising employees, distributors, supp... || In 2024, 50 employees graduated from a joint education program with China Univer... || Number of scholars under Baidu Scholarship Program 106 RMB 10 million Total scho... || Training and Research of Directors In 2024, members of the Board of Directors pa..."
CN022-I002,CN022,CRRC,Cross-cutting,innovation_green_tech,It has developed the Measures for the Management of the National High- Speed Tra...,"It has developed the Measures for the Management of the National High- Speed Train Technology Innovation Center (Trial) to promote collaborative construction of the National High-Speed Train Technology Innovation Center, and jointly funded with the National Natural Science Foundation of China to establish a joint innovation and development fund for enterprises in the fields of rail transportation equipment and clean energy equipment, with 26 guidelines released in the first phase.",yes,Business–NGO/Nonprofit,National Natural Science Foundation,A) Government mandate / compliance-driven,i) regulation/government policy,26,yes,not stated,national,CRRC 2024.pdf,37,High,16,"china, 2024, award, technology, innovation, honor",CN014-I004;CN058-I007;CN031-I003;CN031-I002;CN047-I001,"The Company has jointly developed electric locomotives with the largest power in... || Joined the Universal Postal Union Consultative Council (UPUCC), becoming a key p... || In 2024,  Established 2 joint laboratories with universities  Participated in ... || Excellence in Open Standards Innovation and Organization Award The Open Group AP... || 65 ""Research and Practice of China's Science and Technology Innovation Evaluatio..."
CN022-I003,CN022,CRRC,G,ESG_governance,"It truthfully discloses CRRC's efforts in the ESG field in 2024, aiming to respo...","It truthfully discloses CRRC's efforts in the ESG field in 2024, aiming to respond to the expectations of shareholders, customers, partners, employees, and other stakeholders, and to better fulfill social responsibilities in the future.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,2024,yes,not stated,not stated,CRRC 2024.pdf,2,Medium,4,"esg, 2024, governance, report, management, corporate",CN033-I006;CN023-I004;CN010-I005;CN011-I006;CN018-I001,"In April 2024, our General Counsel, Chief Compliance Officer and Company Secreta... || ▍Information disclosure matrix Disclosure content Disclosure channel Disclosure ... || This Report aims to disclose the ESG management strategies, practical achievemen... || Environmental, Social and Governance Report 2024 13 During the Reporting Period,... || Strategy and Culture ESG Management Feature: Promoting Global Cooperation in ESG..."
CN022-I004,CN022,CRRC,E,renewable_energy,"Meanwhile, our independently developed 118-meter onshore wind turbine blade set ...","Meanwhile, our independently developed 118-meter onshore wind turbine blade set a new industry record.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,118,yes,not stated,not stated,CRRC 2024.pdf,4,Medium,0,"suppliers, supplier, code, business partners, partners, business",CN058-I005;CN018-I007;CN066-I005;CN053-I006;CN003-I005,"Evaluated 1,422 key suppliers, conducted on-site audits of over 1,392 suppliers,... || 38 CITIC Limited Environmental, Social and Governance (ESG) Report 2024 CITIC Ho... || Furthermore, we work together with upstream partners to promote the application ... || In 2024, we held a number of special customer seminars on steel for engineering ... || Empower suppliers and improve supplier governance capabilities • During the fina..."
CN022-I005,CN022,CRRC,Cross-cutting,innovation_green_tech,"Additionally, we actively implemented the ""AI+"" initiative, launching CRRC's art...","Additionally, we actively implemented the ""AI+"" initiative, launching CRRC's artificial intelligence development roadmap and the ""Zhuolun"" industry large model, while advancing 13 key AI-driven manufacturing applications.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,13,yes,not stated,not stated,CRRC 2024.pdf,4,Medium,1,"digital, ai, industry, business, 2024, partners",CN065-I005;CN070-I007;CN041-I008;CN039-I005;CN002-I007,"We have deployed AI to more than 700 use cases, fostering innovation and increas... || 06 Chairman's Address Board Statement Tech for Practicality and AI for Good Supp... || By the end of this reporting period, developers on this platform had created 44,... || At the forum, Xu Zhiyu shared with guests how AI is empowering the smart termina... || In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation Sys..."
CN022-I006,CN022,CRRC,G,stakeholder_engagement,"The achievements of 2024 would not have been possible without the care, support,...","The achievements of 2024 would not have been possible without the care, support, and assistance of our shareholders, customers, partners, and all stakeholders.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,2024,yes,not stated,not stated,CRRC 2024.pdf,4,Medium,12,"partners, university, business, business partners, industry, 2024",CN049-I005;CN035-I006;CN071-I007;CN022-I003;CN054-I006,"2024 SUSTAINABILITY REPORT Committed to Advancing Cutting-Edge Technology, Fulfi... || 2 Enriched Digital Functionalities and Services to Help Our Customers Manage The... || Building Foundations Together with Partners Sustainability Management 2024 Susta... || It truthfully discloses CRRC's efforts in the ESG field in 2024, aiming to respo... || 2024 Sustainability Report Goal 9:Industry, innovation and infrastructure We dev..."
CN022-I007,CN022,CRRC,G,board_structure,The year 2024 marks the 75th anniversary of the founding of the People's Republi...,"The year 2024 marks the 75th anniversary of the founding of the People's Republic of China and is a crucial year for achieving the goals of the ""14th Five-Year Plan."" CRRC has thoroughly studied and implemented General Secretary Xi Jinping's important speeches, instructions, and directives, as well as the key guidance from his three visits to CRRC, firmly carrying out the decisions of the Party Central Committee and the State Council, and comprehensively implementing the work requirements of the State-owned Assets Supervision and Administration Commission of the State Council (SASAC).",yes,Business–Government,Government; Society,A) Government mandate / compliance-driven,i) regulation/government policy,2024,yes,not stated,national,CRRC 2024.pdf,4,Medium,13,"sustainability, 2024, company, stock exchange, materiality, government",CN015-I003;CN017-I005;CN014-I005;CN073-I002;CN048-I002,"6 2024 Environmental, Social and Governance and Sustainability Report Witness ES... || CHINT 10 CHINT SUSTAINABILITY REPORT 2024 Message from the Chairman Company Info... || / 2024 Environmental, Social and Governance Report 12 Corporate Governance China... || ◼ From June to October 2024, members of the Sustainability Work Team participate... || Stakeholder Expectations Engagement channels 2024 Highlights Government and regu..."
CN023-I001,CN023,Stock code: 600900.SH,E,emissions_reduction,ESG events participated by the company in 2023 SN Meeting date Meeting name Orga...,"ESG events participated by the company in 2023 SN Meeting date Meeting name Organized by Exchange theme 1 September 22 The First ESG Annual Conference of Listed Companies in China Securities Times Pursuing green development and fulfilling social responsibility 2 September 23 ESG Forum for SOEs Undertaken by the China Social Responsibility 100 Forum Practicing ESG philosophy and creating first-class enterprises 3 September 26 ESG Themed Salon of China Association for Public Companies China Association for Public Companies Impact of ESG investment on listed companies and suggestions for action 4 October 19 Rural Revitalization Experience Exchange Meeting among Listed Companies in China China Association for Public Companies Listed companies comprehensively promote the strategy of rural revitalization 5 November 7 Enterprise ESG Disclosure and Governance Optimization Theme Forum CITIC Securities ESG governance and disclosure strategies of listed companies 6 November 16 Conference on Sustainable Development of Listed Companies in China China Association for Public Companies Actively fulfilling corporate mission and social responsibility and jointly driving value creation 7 November 16 Responsibility Night 2023–Responsibility Benniu Award Presentation Ceremony China Social Responsibility 100 Forum Setting an example of responsibility, spreading the concept of responsibility, and exploring the practice of responsibility 8 November 24 High-quality Development Forum of Listed Companies in China 2023 China Securities Journal Accumulating strength to boost ESG high-quality development 9 December 1 ESG Seminar for Listed Companies of Shanghai Stock Exchange Shanghai Stock Exchange ESG information disclosure guidelines for listed companies 10 December 5 The 11 th China SIF Annual Conference SynTao Green Finance ESG and high-quality development 11 December 8 The 16 th International Conference on CSR reporting China Sustainability Tribune Global trends in corporate social responsibility information disclosure 12 December 15 Annual Conference of Responsibility Practitioners 2023 The Paper Green sustainability and high-quality resilience Related awards Benniu Award ESG Pioneer Enterprise in Carbon Peaking and Carbon Neutrality “ ESG Golden Bull Award Top 20 in Rural Revitalization” issued by China Securities Journal GoldenBee Excellent CSR report 2023 Evergreen Award “ Top 100 ESG Listed Companies in China” issued by Securities Times “ Annual ESG Low-Carbon Pioneer in Responsibility Practice” issued by The Paper “ Best ESG Practice among Listed Companies in China” issued by the China Association for Public Companies 2023 Forbes China ESG Innovative Enterprise CYPC attaches great importance to the identification and assessment of ESG risks and puts forward reasonable and feasible coping approaches against the ESG risks identified to ensure the effective operation of the ESG risk management system and strongly support the steady growth of the company.",yes,Business–Society/Community,International Conference on CSR reporting China Sustainability Tribune Global trends in corpora,A) Government mandate / compliance-driven,i) regulation/government policy,"2023, 1, 22, 2, 23",yes,green finance,multiple,CYPC 2023.pdf,12,High,4,"esg, 2024, governance, report, management, corporate",CN026-I008;CN066-I001;CN015-I003;CN018-I001;CN002-I001,"AA- AA- A Constituent stock of the Hang Seng Corporate Sustainability Benchmark ... || Sharing ESG Practices for Industry Exchange and International Advocacy Stakehold... || 6 2024 Environmental, Social and Governance and Sustainability Report Witness ES... || Strategy and Culture ESG Management Feature: Promoting Global Cooperation in ESG... || ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of D..."
